날짜,거래처,품목,거래량,단가
20210901,우진,228,10,36000
,,109,10,19000
,,848,2,41000
20210902,삼성타일,951,4,65000
,,332,3,46000
,,334,1,53000
,,330,3,138000
,,252,5,195000
,,108-3,6,150000
,정우타일,518,1,68000
,,108-1,3,81000
,,108-3,8,216000
,,951,3,207000
,,334,3,168000
,,101,5,135000
,중앙,102,15,20000
,,201,8,3200
20210903,마인드타일,951,5,70000
,,848,4,45000
,,332,5,48000
,,108-1,5,27000
,대흥타일,951,2,67000
,,시트,2,8000
,금광타일,1002,20,130000
,,1000,20,85000
,,334,40,57000
,,시트,20,1
20210904,금광타일,334,4,57000
,,848 물통,1,1
,,108-3,4,27000
20210906,우진,951,10,36000
,,333,10,47000
,삼성타일,951,5,65000
,,108-3,4,25000
,,104-3,2,28000
,,104-1,1,28000
,,108-1,2,25000
,,518,1,65000
20210906,우진,848,10,41000
,,334,10,51000
20210907,정우타일,848,10,45000
,,334,3,56000
,대흥타일,848,3,44000
,,109,1,22000
,마인드타일,518,4,68000
,,848,10,45000
,,848 물통,1,19000
,,108-1,5,27000
,GM,951,10,72000
,,951 하부,3,54000
20210908,욕실플러스,252,10,39000
,,332,10,48000
20210908,금광타일,848,3,46000
,,951,2,72000
,,252,3,40000
,,334,2,57000
,,114-1,1,39000
,,103,3,27000
,명진,114-1,5,40000
,,331,3,50000
20210909,대림타일,848,5,220000
,,951,5,345000
,,332,10,480000
,GM,180-3,10,27000
,,848,5,45000
,,848 물통,1,19000
,,108-3,1,0
20210910,송림,252,10,37000
,,180-1,2,25000
,,104-1,2,28000
,삼성타일,951,7,65000
,,252,5,39000
,,332,3,46000
,,334,3,53000
,두암타일,950,3,66000
,,334,5,53000
,,848,10,43000
,,양부속,20,5500
,,특대시트,20,4500
,,시트,3,8000
20210911,GM,333,5,53000
,,334,5,57000
20210914,대흥타일,331,1,48000
,,101,1,25000
,대한,108,10,27000
,,101,10,27000
20210915,우진,108-1,10,23000
,,252,5,36000
,,109,3,19000
,,951,10,63000
,,333,5,47000
20210916,삼성타일,951,4,65000
,,334,1,53000
,,252,5,39000
,,10-3,8,25000
,,101,5,24000
,광명한마음,1002,3,130000
,,시트,3,1
20210918,우리타일,252,2,39000
,,848,10,45000
,,951,3,69000
,,332,2,48000
,정우타일,848,10,45000
,,252,6,40000
,,108,10,27000
,,848 물통,1,0
,삼성타일,951,3,35000
20210922,매입,100,9,67000
,,101,54,16000
,,103,8,16000
,,104,100,17000
,,104 다리,126,7000
,,109,12,13000
,,108-1,63,16000
,,108-3,83,16000
,,108-3 다리,213,6000
,,228,71,24000
,,252,61,23000
,,252 물통,78,12000
,,330,20,43000
,,331,19,45000
,,332,34,43000
,,333,22,45000
,,334,57,50000
,,518,24,57000
,,519,30,62000
,,570,11,130000
,,848,71,23000
,,848 물통,87,17000
,,951,85,45000
,,951 물통,112,17000
,,시트,54,6500
,,양부속,125,4000
,,욕실등,50,60000
,,T200,96,12000
20210924,세림도기,720,10,41000
,,102,7,22000
,우진,848,10,41000
,,951,5,63000
,,330,5,45000
,,108-1,1,0
20210925,정우타일,욕실등,40,4200
,GM,848,10,45000
,,334,7,57000
,삼성타일,252,4,39000
,,951,2,65000
,,334,1,53000
,,332,1,46000
,,108,9,25000
,,104,2,28000
,,333,1,48000
,,252,1,13000
,마인드타일,848,5,225000
,,848 물통,2,38000
,,951,1,70000
,,951 물통,4,76000
,,108-1,5,135000
,,332,2,96000
20210926,카멜인테리어,951,16,72000
,,332,6,49000
20210927,대한상사,848,10,45000
,,108,10,27000
,,104,5,30000
,,40,40,4400
,명진,951,10,71000
,,333,10,53000
20210928,대림타일,848,10,44000
,,332,10,48000
20210929,우진,951,10,63000
,우진,333,10,47000
,삼성타일,951,2,65000
,삼성타일,848,3,43000
,삼성타일,252,6,39000
,삼성타일,101,6,24000
,삼성타일,108,3,25000
,삼성타일,109,2,21000
20210930,유진타일,951,10,66000
,유진타일,332,10,47000
,유진타일,104,10,30000
,유진타일,시트,10,8000
20211001,대명,252,9,40000
,,334,9,57000
20211001,정우타일,951,5,69000
,,848,7,45000
,,108,6,27000
,,334,5,56000
,마인드타일,848,5,45000
,,848 하부,2,26000
,,951,4,70000
,,108-1,5,27000
20211002,,252,1,40000
,삼성타일,252,11,39000
,,101,6,24000
,,108,8,25000
20211004,신라,848,1,45000
,,858,1,20000
,,334,1,55000
20211005,우진,951,5,66000
,,848,8,44000
20211006,카멜인테리어,334,10,60000
,,해바라기,12,52000
20211008,대흥타일,951,3,70000
,,시트,2,8000
,우진,848,10,44000
,,951,5,66000
,,334,5,53000
,마인드타일,848,6,48000
,,848 하부,4,29000
,,108-1,5,28000
,한림바스,750,79,49200
,,720,29,38500
,,860,30,34800
,,850,45,34800
,,102,151,20000
,,101,12,17000
,,201,23,31500
20211009,대림타일,951,7,71000
,,848,10,46000
,,332,10,49000
,정우타일,951,5,72000
,,252,5,43000
,,104-3,1,28000
20211012,두암타일,951,2,66000
,,331,2,46000
,,시트,2,8000
,,334,2,53000
,365타일,252,20,43000
,,951,5,75000
,,334,5,59000
,,양부속,40,4500
,,시트,10,8800
20211013,삼성타일,951,6,68000
,,252,6,42000
,,108-3,5,26000
,드로잉,333,5,55000
,,334,5,59000
,,252,5,43000
20211014,광명,848,25,46000
,중앙,102,10,0
,리피스,951,2,74000
,,848,3,49000
,,332,2,52000
,,시트,1,8000
,마인드타일,519,3,69000
,,332,4,50000
,,108-1,4,28000
,세종,228,5,40000
,,951,5,72000
,,330,3,50000
,,519,2,72000
,,332,2,49000
,,334,2,57000
,,848,2,47000
,,108-1,5,28000
,경동,951,10,75000
,,951,1,0
20211015,정우타일,334,10,58000
,,848,10,48000
,,108-3,5,28000
,,252,5,43000
,영도타일,228,2,24000
,,108-3,3,19000
,,951,2,69000
,,331,1,48000
,두암타일,951,30,66000
,,848,30,43000
,,양부속,60,5500
,,시트,30,8000
,,특대시트,30,5000
,우진,333,10,49000
,,848,10,44000
,,108-1,5,23000
,,330,3,47000
,,951,5,66000
20211016,드로잉,848,12,46500
,,951,6,73500
20211017,대흥타일,332,1,49000
,,108-3,1,26000
20211018,삼성타일,252,7,42000
,,101,10,25000
,,108,3,26000
,,332,1,48000
,,334,1,55000
,송림타일,252,4,40000
,,951,2,71000
,,228,2,40000
,,101,3,26000
,,104-1,4,29000
,,108-3,4,26000
,,518,1,66000
20211020,대림타일,570,2,145000
,,332,10,50000
,우진,1002,2,110000
,,951,10,66000
,,333,10,49000
20211021,우리타일,951,10,72000
,,848,10,48000
,,332,2,50000
,,334,3,59000
,,108-1,5,27000
,정우타일,951,5,72000
,,848,5,48000
,,252,3,43000
20211022,두암타일,951,10,1
,,848,10,1
,,331,10,1
,,334,10,1
,,시트,10,1
,,848 물통,1,1
,365타일,951,1,75000
,,252,12,43000
,,330,13,53000
,욕실플러스,951,10,72000
,,848,10,47000
20211023,유진타일,334,5,55000
,,951 물통,2,0
,우진,518,3,59000
20211025,드로잉,848,10,48000
,,519,3,72000
